,idd_-45,idd_125,iddq_-45,iddq_125,fosc_-45,fosc_25,fosc_125,t_err_max,t_err_min,name,type,time,OK
0,18.30997,47.57657,1.908662,10.565280000000001,1.9566053166823927,3.058700578124521,4.999078571678631,0.0,-11.817011224707798,tran_LayGtKttmmTtVt_29,Lay,Mon Mar 23 04:31:52 2026,False
1,13.06126,41.429320000000004,1.847573,10.41621,1.543447535831093,2.594007498502695,4.5424201832565485,4.9041266830258365,-24.37545614306677,tran_LayGtKttmmTtVt_28,Lay,Mon Mar 23 04:31:51 2026,False
2,12.4921,40.0358,1.511162,10.112060000000001,1.4248506984162939,2.501301271856695,4.329489151548746,3.3551336476916163,-31.801495509719402,tran_LayGtKttmmTtVt_27,Lay,Mon Mar 23 04:31:51 2026,False
3,14.90255,40.646190000000004,1.50403,10.13194,1.5991764992717807,2.461245071140106,4.12385735272611,0.17053826094065982,-9.078072438804782,tran_LayGtKttmmTtVt_26,Lay,Mon Mar 23 04:31:51 2026,True
4,17.318089999999998,44.79906,0.9337600999999999,10.18566,2.0564173903753806,3.1332258072640964,5.103521214543207,0.0,-8.818915873435657,tran_LayGtKttmmTtVt_25,Lay,Mon Mar 23 04:31:51 2026,True
5,18.08707,44.23651,1.864283,10.21757,1.9519047760687218,2.8856516533077436,4.721462471431004,0.24901138739650008,-8.000632428634972,tran_LayGtKttmmTtVt_24,Lay,Mon Mar 23 04:31:51 2026,True
6,19.05138,44.424040000000005,1.4762920000000002,10.15203,1.7933840961269856,2.573515942623369,4.300516634675921,3.346799442911859,-4.174563505712996,tran_LayGtKttmmTtVt_23,Lay,Mon Mar 23 04:31:50 2026,True
7,22.291839999999997,48.11021,1.518047,10.49149,2.4238139521755633,3.257838734013296,5.182127307192476,15.142914561374788,-13.142679691118062,tran_LayGtKttmmTtVt_22,Lay,Mon Mar 23 04:31:50 2026,False
8,13.66382,42.91044,1.873741,10.36556,1.4655446006997173,2.5682541802532644,4.485707996014581,4.580281754678097,-31.506014524739143,tran_LayGtKttmmTtVt_21,Lay,Mon Mar 23 04:31:50 2026,False
9,11.28091,38.05908,1.494864,10.080070000000001,1.3705973749607725,2.350254012101826,4.10336496272429,4.617960866210609,-27.813190841458834,tran_LayGtKttmmTtVt_20,Lay,Mon Mar 23 04:31:50 2026,False
10,20.92877,48.60836,1.900783,10.6563,2.1923043170948064,3.094065018412664,4.99268471984041,6.329578883318355,-10.526687618870454,tran_LayGtKttmmTtVt_19,Lay,Mon Mar 23 04:31:49 2026,False
11,19.71936,46.4374,1.864171,10.38321,1.9637845525802946,2.8476130237225856,4.6835864470393815,1.4808739987585682,-7.053224838018096,tran_LayGtKttmmTtVt_18,Lay,Mon Mar 23 04:31:49 2026,True
12,19.11592,45.29755,1.539107,10.50086,2.0265973742337033,2.8745712277372406,4.634135548822356,5.429649748565041,-10.698341301815574,tran_LayGtKttmmTtVt_17,Lay,Mon Mar 23 04:31:49 2026,False
13,16.08879,45.71976,1.526601,10.5006,1.8228850049843088,2.940948443368571,5.030666966107629,1.79517596625125,-17.317892986239556,tran_LayGtKttmmTtVt_16,Lay,Mon Mar 23 04:31:49 2026,False
14,16.767509999999998,43.52303,1.017134,10.51653,1.6561179977913603,2.5217143954214234,4.282967071173578,1.5045178651870188,-7.190252793459308,tran_LayGtKttmmTtVt_15,Lay,Mon Mar 23 04:31:49 2026,True
15,21.51221,48.61131,1.8723150000000002,10.592360000000001,2.328802406091291,3.244168916118613,5.256218046423756,8.673007885901129,-9.786277337475951,tran_LayGtKttmmTtVt_14,Lay,Mon Mar 23 04:31:48 2026,True
16,17.82819,45.88859,1.406465,10.63204,1.7830945071695081,2.836058238831134,4.775040134797082,0.5592182063823756,-14.838420265886455,tran_LayGtKttmmTtVt_13,Lay,Mon Mar 23 04:31:48 2026,False
17,14.87393,43.10997,1.8903709999999998,10.50375,1.6817231194040576,2.7351256479739847,4.657738192938604,1.9160839418157423,-18.713922685476533,tran_LayGtKttmmTtVt_12,Lay,Mon Mar 23 04:31:48 2026,False
18,13.46364,40.26586,1.376833,10.30518,1.3655405756813719,2.2611026708357844,3.920455995572781,3.8613640704375314,-21.81538263371459,tran_LayGtKttmmTtVt_11,Lay,Mon Mar 23 04:31:48 2026,False
19,17.16424,44.001,1.5033459999999998,10.11086,1.7920661752406537,2.6904878041820397,4.507752766812213,0.1474439179018816,-4.696706433208973,tran_LayGtKttmmTtVt_10,Lay,Mon Mar 23 04:31:47 2026,True
20,18.23086,46.20143,1.559849,10.55207,2.0015483420401488,3.100087185204318,5.064625362026422,-2.4868995751603507e-14,-10.190876862829839,tran_LayGtKttmmTtVt_9,Lay,Mon Mar 23 04:31:47 2026,False
21,28.20636,53.1518,1.929819,10.69135,3.008665404511063,3.74782033272724,5.8072081118654335,29.03916156528598,-17.94543439759576,tran_LayGtKttmmTtVt_8,Lay,Mon Mar 23 04:31:47 2026,False
22,13.239740000000001,40.76901,1.860224,10.15059,1.3181634075133428,2.1962465536744604,3.903867586880413,7.2812130667989265,-22.884633816682083,tran_LayGtKttmmTtVt_7,Lay,Mon Mar 23 04:31:47 2026,False
23,16.002840000000003,43.22094,1.515039,10.115689999999999,1.623914901555045,2.5207475024528625,4.340557538632645,2.7050566000239655,-10.578295009947766,tran_LayGtKttmmTtVt_6,Lay,Mon Mar 23 04:31:47 2026,False
24,13.00666,40.51045,1.837543,10.26491,1.3524822554304885,2.3041668083043048,4.087801193588776,6.945942800842687,-26.70345635417226,tran_LayGtKttmmTtVt_5,Lay,Mon Mar 23 04:31:46 2026,False
25,21.03844,48.77736,1.0004439999999999,10.50381,2.4704521550603618,3.60644298856828,5.752223522184004,2.5832393663981392,-12.647132233383019,tran_LayGtKttmmTtVt_4,Lay,Mon Mar 23 04:31:46 2026,False
26,19.37444,46.71844,1.5378340000000001,10.60309,2.198495388534422,3.1303354794809737,5.070814769304938,4.74422485104094,-9.821100239773315,tran_LayGtKttmmTtVt_3,Lay,Mon Mar 23 04:31:46 2026,True
27,18.243470000000002,43.72876,1.534264,10.19098,2.0197574324876126,2.9376320273350576,4.730654706003482,2.1924239935046117,-10.89636702455195,tran_LayGtKttmmTtVt_2,Lay,Mon Mar 23 04:31:46 2026,False
28,20.505689999999998,47.945370000000004,0.8287034,10.59233,2.2826196038280533,3.301051361308338,5.208833763447232,2.9841856705236225,-14.612102622027294,tran_LayGtKttmmTtVt_1,Lay,Mon Mar 23 04:31:45 2026,False
29,10.563039999999999,39.33068,1.485933,10.46516,,,,,,tran_LayGtKttmmTtVt,Lay,Mon Mar 23 03:46:54 2026,True
