,idd_-45,idd_125,iddq_-45,iddq_125,fosc_-45,fosc_25,fosc_125,t_err_max,t_err_min,t_err_com_max,t_err_com_min,name,type,time,OK
0,16.96824,42.82291,2.8077430000000003,44.93984,1.4796925637758016,2.179333432317362,3.564316534358971,1.651923123922316,-4.636524480303379,1.651923123922316,0.02668018437023978,tran_LayGtKfsTtVh,Lay,Wed Apr  1 16:15:01 2026,False
1,15.684449999999998,39.55439,2.46963,14.41366,1.4944585445005203,2.2027941587803337,3.5993322181817495,1.8483279674926933,-4.596460368704257,1.8483279674926933,0.3998656361102837,tran_LayGtKsfTtVh,Lay,Wed Apr  1 16:15:01 2026,True
2,19.55438,49.01437,2.6431199999999997,27.00429,1.942858457897658,2.8520751617925724,4.647900015537178,1.6365568498780796,-4.016314270561139,1.6365568498780796,0.16685045511077012,tran_LayGtKffTtVh,Lay,Wed Apr  1 16:15:00 2026,True
3,13.755930000000001,35.06292,2.641488,14.39014,1.1702667221628913,1.7270482095971684,2.8342768633099573,2.0793213199452154,-4.865773451237516,2.0793213199452154,0.1311821074973678,tran_LayGtKssTtVh,Lay,Wed Apr  1 16:14:59 2026,False
4,15.10589,39.43401,2.7620169999999997,43.872769999999996,1.4670096398563062,2.1613342039060015,3.537251326220824,0.02595350975217059,-6.292236752826412,0.02595350975217059,-1.564874785601809,tran_LayGtKfsTtVt,Lay,Wed Apr  1 16:14:59 2026,False
5,13.86862,36.38484,2.528076,14.48655,1.4225742614102375,2.182448067616292,3.573194942700867,0.026191020694668055,-14.041334318277293,0.026191020694668055,-2.273657652894362,tran_LayGtKsfTtVt,Lay,Wed Apr  1 16:14:58 2026,False
6,17.58994,45.06055,2.6020800000000004,26.03703,1.9344812749215057,2.828737945333731,4.611470505834285,0.0,-4.84825707916049,0.0,-1.2701099290570417,tran_LayGtKffTtVt,Lay,Wed Apr  1 16:14:58 2026,True
7,12.15953,32.27301,1.858835,15.102630000000001,1.1393297520790273,1.7114041058230143,2.810624273609048,0.37933875082027413,-10.008838959937876,0.37933875082027413,-2.059219742717714,tran_LayGtKssTtVt,Lay,Wed Apr  1 16:14:57 2026,False
8,13.45843,36.15737,2.7797219999999996,42.20805,1.4307816177303767,2.143863927692152,3.5109412071871673,-1.5358499352910115,-11.086382735600594,-1.5358499352910115,-3.4667810745791567,tran_LayGtKfsTtVl,Lay,Wed Apr  1 16:14:57 2026,False
9,8.708298000000001,33.31691,2.655039,12.10939,0.8883153696095281,2.1495647174771246,3.5390991312190443,-1.8380711207682339,-98.17127784249331,-1.8380711207682339,-8.851258209085419,tran_LayGtKsfTtVl,Lay,Wed Apr  1 16:14:56 2026,False
10,15.4765,41.367,2.057664,26.25784,1.8585819801200676,2.80499257138843,4.576994678586825,-1.6791507645431096,-12.52202615818959,-1.6791507645431096,-3.138636522027734,tran_LayGtKffTtVl,Lay,Wed Apr  1 16:14:55 2026,False
11,8.260323000000001,29.60237,2.4656540000000002,14.75514,0.849926539915483,1.6903436661573896,2.7883033039400407,-1.5365388104475883,-64.16902327369277,-1.5365388104475883,-6.277120839139187,tran_LayGtKssTtVl,Lay,Wed Apr  1 16:14:54 2026,False
