,idd_-45,idd_125,iddq_-45,iddq_125,fosc_-45,fosc_25,fosc_125,t_err_max,t_err_min,t_err_com_max,t_err_com_min,name,type,time,OK
0,14.96313,35.825770000000006,1.056068,10.46196,1.9007534751565545,2.6085785642685617,4.333787558123916,10.449681605362237,-4.24792754183612,1.4099769890945302,-1.1188603976161215,tran_SchGtKttmmTtVt_29,Sch,Wed Apr  1 16:14:08 2026,False
1,15.842149999999998,37.75758,1.170795,10.543109999999999,2.0034372150633617,2.976376691373892,4.777318989316062,1.1498975493317616,-10.559753996558086,0.718685968332351,-4.134251735266916,tran_SchGtKttmmTtVt_28,Sch,Wed Apr  1 16:14:07 2026,False
2,12.33887,36.71477,1.322902,10.36042,1.511410240326819,2.4886026311890426,4.277746429555047,2.460513626981964,-22.374104397313303,2.1996966895115477,-4.43126420730318,tran_SchGtKttmmTtVt_27,Sch,Wed Apr  1 16:14:07 2026,False
3,14.64525,38.46375,1.167522,10.56984,1.550648459033722,2.4569687445505624,4.2293565111809235,3.0867134409586328,-15.570807237809689,2.7701192863116066,-4.123035496322163,tran_SchGtKttmmTtVt_26,Sch,Wed Apr  1 16:14:07 2026,False
4,14.44909,37.22913,1.3142449999999999,10.28203,1.6183360373756555,2.4583649595048054,4.290440168563714,4.692468126528638,-8.027267489590187,3.381573253577035,-3.302694518978071,tran_SchGtKttmmTtVt_25,Sch,Wed Apr  1 16:14:06 2026,True
5,15.504669999999999,36.86951,1.318029,10.549109999999999,2.066029970638321,2.8921050831297306,4.81183833593244,6.815222813383727,-3.9818687483111574,0.8790688360537979,-1.3369368732106244,tran_SchGtKttmmTtVt_24,Sch,Wed Apr  1 16:14:06 2026,True
6,13.77786,36.3307,0.8732832,10.399009999999999,1.6786289378549035,2.498424785240063,4.2189744384593775,0.437649903265374,-4.34607351787632,0.437649903265374,-1.0932391604506542,tran_SchGtKttmmTtVt_23,Sch,Wed Apr  1 16:14:05 2026,True
7,17.569219999999998,39.809309999999996,1.31882,10.70153,2.167679174029605,3.0907285956515467,5.022124362597445,3.452045730534195,-8.306884579773751,1.688268171610327,-3.515056611372664,tran_SchGtKttmmTtVt_22,Sch,Wed Apr  1 16:14:05 2026,True
8,18.72281,39.65742,1.20279,10.5816,2.4470870753936222,3.229285994933685,5.105198831366287,17.68417142213476,-13.352626185043249,4.274603929096585,-5.916793028956039,tran_SchGtKttmmTtVt_21,Sch,Wed Apr  1 16:14:04 2026,False
9,12.802299999999999,36.0876,1.1559279999999998,10.28734,1.528032123697995,2.4346077880753003,4.182959927716031,2.5509912673780235,-16.557817874710665,2.2604175424446242,-3.6902757744552477,tran_SchGtKttmmTtVt_20,Sch,Wed Apr  1 16:14:04 2026,False
10,13.31837,35.39761,1.299955,10.6044,1.6035392796866186,2.4292529769237676,4.090201852756003,0.6511762258366005,-7.5364965041137,0.6511762258366005,-1.8206826507915785,tran_SchGtKttmmTtVt_19,Sch,Wed Apr  1 16:14:03 2026,True
11,18.22594,39.08748,1.185521,10.352170000000001,2.3430571811318406,3.1522331879958427,5.04173026438916,14.116558886050512,-11.20957746911921,3.220923848590771,-4.91341006807295,tran_SchGtKttmmTtVt_18,Sch,Wed Apr  1 16:14:03 2026,False
12,13.43787,35.62849,1.301282,10.53434,1.6078977173179387,2.4393031441822006,4.140553959559767,1.2869851549686686,-7.791021160422659,1.2869851549686686,-2.258585970964444,tran_SchGtKttmmTtVt_17,Sch,Wed Apr  1 16:14:02 2026,True
