,idd_-45,idd_25,idd_125,iddq_-45,iddq_25,iddq_125,fosc_-45,fosc_25,fosc_125,t_err_max,t_err_min,t_err_com_max,t_err_com_min,name,type,time,OK
0,14.815840000000001,23.15127,37.42176,2.769444,3.443973,14.96144,1.40821068273553,2.0504102575711203,3.412164559618418,1.5253284383347605,-4.025883604280963,1.5253284383347605,-2.272599543592393,tran_LayGtKttmmTtVt_29,Lay,Tue Apr 28 20:36:39 2026,False
1,9.427024000000001,18.66042,33.1022,2.7170929999999998,3.089373,15.414259999999999,0.9548905554203823,1.6409219217438487,2.918600918856872,11.512602187284898,-35.395355417137836,8.329074973746444,-9.639740152642302,tran_LayGtKttmmTtVt_28,Lay,Tue Apr 28 20:36:39 2026,False
2,11.67537,21.167810000000003,36.10098,2.206611,3.4267830000000004,15.412980000000001,1.195120544689725,1.9056283357316863,3.2115293188057668,3.3103008926448894,-21.367771210643212,3.099450837587741,-5.627764681400983,tran_LayGtKttmmTtVt_27,Lay,Tue Apr 28 20:36:39 2026,False
3,13.62692,22.89718,37.48409,2.763196,3.418237,15.023729999999999,1.4143445943865987,2.1760459493501885,3.6219823389742976,1.5022799840489398,-14.587228841656781,1.5022799840489398,-3.334261334865324,tran_LayGtKttmmTtVt_26,Lay,Tue Apr 28 20:36:38 2026,False
4,14.1081,23.04187,37.61958,2.351327,3.418631,15.485370000000001,1.3381392434193922,2.0364142758791295,3.4578976793598972,3.5205440478807475,-12.501724654629072,3.0010440795580724,-3.8304026936202598,tran_LayGtKttmmTtVt_25,Lay,Tue Apr 28 20:36:38 2026,False
5,14.45368,23.188589999999998,37.842980000000004,2.7540050000000003,3.037203,15.475010000000001,1.50690863221708,2.2025054877784647,3.644944384260759,0.9160982035096055,-4.760463754741991,0.9160982035096055,-1.966889364012139,tran_LayGtKttmmTtVt_24,Lay,Tue Apr 28 20:36:38 2026,True
6,18.41679,25.920189999999998,39.97138,2.780671,3.03754,15.50464,1.731684991507994,2.3039455788839405,3.6556962423661257,13.47714968371492,-9.720515163980139,2.4646553978158154,-3.6418203165088148,tran_LayGtKttmmTtVt_23,Lay,Tue Apr 28 20:36:37 2026,False
7,14.45496,23.95777,38.14416,2.747424,3.4227209999999997,15.41437,1.3770925459120147,2.1324829794299665,3.4610551025012084,3.197442310920451e-14,-15.819093132049758,3.197442310920451e-14,-2.2548588112328374,tran_LayGtKttmmTtVt_22,Lay,Tue Apr 28 20:36:37 2026,False
8,14.20269,23.91911,38.42859,2.723503,3.425583,14.80486,1.3699101164858865,2.1339349764754707,3.500460408992949,0.08939511417817414,-16.942962853079294,0.08939511417817414,-2.5732983507468443,tran_LayGtKttmmTtVt_21,Lay,Tue Apr 28 20:36:37 2026,False
9,11.63939,20.911949999999997,34.61315,2.3750039999999997,3.0626819999999997,15.355459999999999,1.2026117389233717,1.9610005718202648,3.2098593555633177,0.5199101906671686,-25.591115606583045,0.5199101906671686,-3.996702772284892,tran_LayGtKttmmTtVt_20,Lay,Tue Apr 28 20:36:36 2026,False
10,9.104066999999999,18.48888,33.24047,2.358333,3.5299889999999996,15.305190000000001,0.9863117220007387,1.6960391839045286,3.012503246354328,11.261570631964616,-35.518196449244115,8.422903597157545,-9.917560079517607,tran_LayGtKttmmTtVt_19,Lay,Tue Apr 28 20:36:36 2026,False
11,17.77931,26.61545,41.18468,2.7666839999999997,3.020045,15.559280000000001,1.6114763395590537,2.299361563648162,3.686460469665392,0.16099230821911448,-7.766669498440791,0.10062019263694655,-2.2843058575283774,tran_LayGtKttmmTtVt_18,Lay,Tue Apr 28 20:36:36 2026,True
12,10.32179,19.87601,34.63486,2.188698,3.483612,14.778,1.0866725180360475,1.817285369813231,3.1602348330314913,7.370751027911979,-30.32891765426362,5.915738835828465,-7.840352338220113,tran_LayGtKttmmTtVt_17,Lay,Tue Apr 28 20:36:35 2026,False
13,16.232809999999997,24.77094,39.05153,2.758745,3.025811,14.94349,1.6198389455595474,2.312758888916524,3.734898540133373,0.019982806672871334,-6.404819545934814,0.012489254170544584,-1.8509236800027842,tran_LayGtKttmmTtVt_16,Lay,Tue Apr 28 20:36:35 2026,True
14,15.35147,24.74644,39.442859999999996,2.785824,3.440914,15.57375,1.5085889859033594,2.278799500199513,3.700409365003743,0.0,-11.080485201503961,0.0,-2.0580496647341695,tran_LayGtKttmmTtVt_15,Lay,Tue Apr 28 20:36:35 2026,False
15,15.09329,23.80123,37.8146,2.3934539999999997,3.446423,15.55853,1.5708151279178808,2.2795584034223704,3.6649260775512436,0.0,-7.241682305516335,0.0,-2.1329846173884732,tran_LayGtKttmmTtVt_14,Lay,Tue Apr 28 20:36:34 2026,True
16,13.33359,21.94697,36.00674,2.731894,3.423363,15.44839,1.292489567659843,1.9257890953928747,3.1513347172588517,0.3411949884978611,-8.455072992140643,0.3411949884978611,-2.1750876863464454,tran_LayGtKttmmTtVt_13,Lay,Tue Apr 28 20:36:34 2026,False
17,18.2647,27.07888,41.557100000000005,1.749333,3.028451,15.5555,1.6940613522142693,2.41672300953624,3.896843619013903,0.170110765528932,-6.691332082653062,0.1063192284555825,-1.8222691312264092,tran_LayGtKttmmTtVt_12,Lay,Tue Apr 28 20:36:34 2026,True
18,14.54257,23.39749,38.15918,1.713779,3.4060799999999998,15.4084,1.4677506335425807,2.1404540030902144,3.556388861351405,1.2185829233509793,-4.3276303789833435,1.2185829233509793,-1.7736935014184063,tran_LayGtKttmmTtVt_11,Lay,Tue Apr 28 20:36:33 2026,False
19,15.9615,25.12927,40.035579999999996,2.301217,3.392518,15.406970000000001,1.6669387183131437,2.394620823461796,3.8849716977473667,0.0,-5.539166256161138,0.0,-1.340027691632979,tran_LayGtKttmmTtVt_10,Lay,Tue Apr 28 20:36:33 2026,True
20,15.538239999999998,22.96734,36.91776,2.743071,3.037213,14.83005,1.5267012450375603,2.0943526103888344,3.393942806496108,7.509518188850052,-5.753641809405167,0.8955845629408632,-1.5046307929446274,tran_LayGtKttmmTtVt_9,Lay,Tue Apr 28 20:36:33 2026,False
21,16.84957,25.07854,39.67945,2.370836,3.415588,14.93671,1.7964774379835207,2.457968045035671,3.9644341679696624,8.02083797303149,-6.639901670763706,1.2740993940761833,-2.180891723493085,tran_LayGtKttmmTtVt_8,Lay,Tue Apr 28 20:36:32 2026,True
22,16.865099999999998,25.17166,39.488659999999996,2.413227,3.431744,15.619589999999999,1.8973538258226945,2.5759832359507686,4.0002071837856406,9.527268484766864,-13.794691166730047,2.9299714865875215,-5.560024717244724,tran_LayGtKttmmTtVt_7,Lay,Tue Apr 28 20:36:32 2026,False
23,13.183390000000001,22.83516,36.778749999999995,2.749778,3.442395,15.02286,1.2627874598597073,2.006199480553126,3.271895825131503,0.2936276718995643,-20.678478721274047,0.2936276718995643,-3.494382664405348,tran_LayGtKttmmTtVt_6,Lay,Tue Apr 28 20:36:32 2026,False
24,13.83678,22.332089999999997,36.661829999999995,2.2406129999999997,3.447391,15.44069,1.5414532346803336,2.2289385873180905,3.6690716441595956,0.19129045554697655,-2.819272368820137,0.19129045554697655,-1.1491326218851388,tran_LayGtKttmmTtVt_5,Lay,Tue Apr 28 20:36:31 2026,True
25,12.99796,22.013939999999998,36.85862,2.341136,3.430131,15.37915,1.3363143365038115,2.0296902021886343,3.4612126269592953,4.140192283112796,-12.130651808964274,3.4122082691026403,-4.035627942062883,tran_LayGtKttmmTtVt_4,Lay,Tue Apr 28 20:36:31 2026,False
26,15.721029999999999,24.592100000000002,38.68125,2.765765,3.4252819999999997,15.52157,1.5276288723697122,2.273944990232804,3.710830813559551,3.197442310920451e-14,-8.269778963017657,3.197442310920451e-14,-1.5508994406183754,tran_LayGtKttmmTtVt_3,Lay,Tue Apr 28 20:36:31 2026,True
27,10.71154,20.05804,34.40247,2.771392,2.441705,15.478330000000001,1.0683225652274928,1.7741040455409218,3.029698982660371,4.922329050389621,-29.015802606848254,4.276986886471024,-6.620125102395026,tran_LayGtKttmmTtVt_2,Lay,Tue Apr 28 20:36:30 2026,False
28,17.46382,25.89218,40.26822000000001,1.628795,3.4264740000000002,15.74584,1.8132280895481174,2.497318958666796,3.9370496379959588,6.736694045168136,-10.937848474689758,1.788134772556336,-4.080626497734125,tran_LayGtKttmmTtVt_1,Lay,Tue Apr 28 20:36:30 2026,False
29,14.681890000000001,24.04194,38.98731,2.7488970000000004,3.432683,15.47586,,,,,,,,tran_LayGtKttmmTtVt,Lay,Tue Apr 28 20:36:27 2026,True
